iter	Passed	Remaining
0	1	110
1	2	102
2	2	96
3	3	87
4	4	87
5	5	84
6	6	83
7	7	81
8	7	79
9	8	78
10	9	76
11	10	75
12	11	74
13	11	72
14	12	71
15	13	69
16	13	67
17	14	66
18	15	64
19	15	63
20	16	62
21	17	61
22	17	60
23	18	58
24	19	57
25	19	56
26	20	55
27	21	54
28	21	53
29	22	52
30	22	51
31	23	50
32	24	49
33	24	48
34	25	47
35	25	46
36	26	45
37	27	44
38	27	43
39	28	43
40	29	42
41	29	40
42	30	40
43	30	39
44	31	38
45	32	37
46	32	36
47	33	36
48	33	35
49	34	34
50	35	33
51	35	32
52	36	32
53	36	31
54	37	30
55	37	29
56	38	29
57	39	28
58	39	27
59	40	27
60	41	26
61	41	25
62	42	24
63	43	24
64	44	23
65	44	23
66	45	22
67	46	21
68	47	21
69	47	20
70	48	19
71	48	18
72	49	18
73	50	17
74	50	16
75	51	16
76	52	15
77	52	14
78	53	14
79	53	13
80	54	12
81	55	12
82	55	11
83	56	10
84	56	10
85	57	9
86	58	8
87	58	8
88	59	7
89	60	6
90	60	5
91	61	5
92	61	4
93	62	3
94	63	3
95	63	2
96	64	1
97	64	1
98	65	0
99	66	0
